rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,2344,華邦電,半導體業,197.0,sys2,11.87,193.0,112.0,173.27,1,262792,2026-06-16,Excellent,91.5
2,2327,國巨*,電子工業,950.0,sys2,56.22,940.0,485.5,837.56,1,49883,2026-06-16,Excellent,22.8
3,2890,永豐金,金融保險,35.3,sys2,0.87,35.2,28.65,33.57,11,49733,2026-06-16,Excellent,50.7
4,1714,和桐,化學工業,17.95,sys2,0.72,16.7,9.3,16.52,13,32581,2026-06-16,Excellent,43.0
5,3624,光頡,電子零組件業,142.0,sys2,9.07,129.5,78.9,123.87,1,17230,2026-06-16,Excellent,30.6
6,2305,全友,電子工業,30.35,sys2,1.68,27.6,16.1,27.0,5,7863,2026-06-16,Excellent,74.9
7,3550,聯穎,電子工業,30.85,sys2,1.79,30.5,19.7,27.27,5,7025,2026-06-16,Excellent,29.9
8,3441,聯一光,光電業,81.0,sys2,4.36,77.0,43.8,72.28,2,6917,2026-06-16,Excellent,40.2
9,3362,先進光,光電業,194.0,sys2,9.51,176.5,109.5,174.97,1,5453,2026-06-16,Excellent,16.6
10,3044,健鼎,電子工業,546.0,sys2,26.26,542.0,454.0,493.49,1,4401,2026-06-16,Excellent,24.4
11,8121,越峰,電子零組件業,50.3,sys2,3.02,48.8,31.65,44.27,3,3883,2026-06-16,Excellent,18.6
12,8042,金山電,電子零組件業,192.5,sys2,12.56,187.5,104.0,167.39,1,3475,2026-06-16,Excellent,20.5
13,3532,台勝科,半導體業,394.5,sys2,22.83,359.0,202.0,348.83,1,3017,2026-06-16,Excellent,15.8
14,3290,東浦,電子零組件業,66.0,sys2,2.98,64.5,45.5,60.05,3,2574,2026-06-16,Excellent,68.1
15,6517,保勝光學,光電業,76.6,sys2,3.76,72.9,57.3,69.08,2,1512,2026-06-16,Excellent,19.3
16,6259,百徽,電子零組件業,31.8,sys2,1.94,30.35,21.5,27.91,5,1413,2026-06-16,Excellent,37.1
17,4551,智伸科,汽車工業,183.5,sys2,8.36,167.0,128.0,166.78,1,1392,2026-06-16,Excellent,20.1
18,5302,太欣,半導體業,12.7,sys2,0.64,12.65,9.68,11.43,15,1190,2026-06-16,Excellent,132.9
19,2535,達欣工,建材營造,96.6,sys2,2.81,95.0,72.1,90.99,3,761,2026-06-16,Excellent,24.7
20,6613,朋億*,其他電子類,360.0,sys2,15.0,342.5,239.0,329.99,1,663,2026-06-16,Excellent,65.2
21,6494,九齊,半導體業,68.8,sys2,3.35,63.6,50.9,62.11,2,576,2026-06-16,Excellent,39.4
22,2527,宏璟,建材營造,39.95,sys1,1.4,39.85,33.9,37.16,7,828,2026-06-16,Excellent,3888.2
23,2887,台新新光金,金融保險,32.3,sys2,2.28,31.75,13.34,27.73,4,156469,2026-06-16,Good,67.8
24,1402,遠東新,紡織纖維,28.55,sys2,0.86,28.2,23.3,26.84,11,75342,2026-06-16,Good,-3.3
25,2892,第一金,金融保險,31.8,sys2,0.61,31.65,27.2,30.57,16,70373,2026-06-16,Good,9.5
26,2884,玉山金,金融保險,35.2,sys2,0.69,34.85,30.65,33.83,14,59063,2026-06-16,Good,10.2
27,5328,華容,電子零組件業,51.2,sys2,3.16,47.0,27.7,44.88,3,36051,2026-06-16,Good,8.3
28,4958,臻鼎-KY,電子零組件業,624.0,sys2,37.75,607.0,394.0,548.5,1,30545,2026-06-16,Good,7.2
29,5880,合庫金,金融保險,24.6,sys2,0.34,24.35,22.6,23.91,29,28136,2026-06-16,Good,-15.4
30,6182,合晶,半導體業,107.0,sys2,6.41,101.5,54.1,94.18,1,24002,2026-06-16,Good,8.4
31,2412,中華電,通信網路業,146.5,sys2,2.15,146.0,136.0,142.21,4,16099,2026-06-16,Good,7.6
32,3019,亞光,光電業,164.0,sys2,8.09,163.5,137.5,147.83,1,12052,2026-06-16,Good,12.3
33,2478,大毅,電子工業,207.0,sys2,12.16,194.5,88.1,182.68,1,10905,2026-06-16,Good,13.5
34,4904,遠傳,通信網路業,112.5,sys2,2.43,112.0,92.9,107.64,4,10270,2026-06-16,Good,3.6
35,2342,茂矽,半導體業,48.05,sys2,3.07,47.45,36.65,41.92,3,9005,2026-06-16,Good,-10.8
36,2302,麗正,半導體業,41.8,sys2,2.34,40.65,24.65,37.11,4,7047,2026-06-16,Good,5.1
37,6488,環球晶,半導體業,1045.0,sys2,63.14,1040.0,630.0,918.72,1,6542,2026-06-16,Good,0.1
38,2492,華新科,電子工業,494.0,sys2,32.28,482.5,213.0,429.43,1,5967,2026-06-16,Good,11.1
39,8071,能率網通,電子零組件業,29.6,sys2,1.49,27.4,19.15,26.61,6,4189,2026-06-16,Good,3.5
40,6189,豐藝,電子工業,56.6,sys2,2.22,56.5,48.05,52.16,4,3438,2026-06-16,Good,7.4
41,5426,振發,電腦及週邊設備業,37.55,sys2,1.72,36.05,17.7,34.12,5,3347,2026-06-16,Good,-14.8
42,3008,大立光,光電業,4860.0,sys2,247.21,4420.0,3200.0,4365.58,1,2400,2026-06-16,Good,10.8
43,2243,宏旭-KY,汽車工業,44.95,sys2,2.74,42.8,20.9,39.47,3,2064,2026-06-16,Good,52.5
44,6156,松上,電子零組件業,22.9,sys2,0.9,22.6,17.85,21.1,11,1369,2026-06-16,Good,1.6
45,9946,三發地產,建材營造,19.95,sys2,0.53,19.35,16.1,18.9,19,1127,2026-06-16,Good,2175.6
46,6668,中揚光,光電業,43.8,sys2,2.1,42.45,35.1,39.6,4,1083,2026-06-16,Good,8.5
47,3546,宇峻,文化創意業,86.6,sys2,2.29,84.9,78.5,82.03,4,576,2026-06-16,Good,47.8
48,2633,台灣高鐵,航運業,26.15,sys1,0.39,26.1,25.0,25.36,25,21844,2026-06-16,Good,4.5
49,1905,華紙,造紙工業,14.15,sys1,0.6,14.0,12.0,12.96,16,7768,2026-06-16,Good,4.3
50,9940,信義,其他,20.25,sys1,0.41,19.9,18.7,19.42,24,744,2026-06-16,Good,14.6
51,8933,愛地雅,運動休閒類,5.02,sys1,0.24,5.01,4.35,4.54,41,512,2026-06-16,Good,-31.4
52,2883,凱基金,金融保險,29.7,sys2,1.06,29.4,21.25,27.57,9,153681,2026-06-16,Normal,-49.8
53,2881,富邦金,金融保險,132.0,sys2,4.13,129.0,94.3,123.73,2,68946,2026-06-16,Normal,-57.4
54,2882,國泰金,金融保險,109.5,sys2,3.47,105.5,77.0,102.56,2,50839,2026-06-16,Normal,-37.9
55,2867,三商壽,金融保險,8.53,sys2,0.17,8.48,7.43,8.18,57,17893,2026-06-16,Normal,-119.5
56,2493,揚博,電子工業,250.0,sys2,13.55,227.5,128.0,222.91,1,7222,2026-06-16,Normal,-6.2
57,2851,中再保,金融保險,39.75,sys2,0.94,38.25,34.35,37.87,10,2512,2026-06-16,Normal,-68.8
58,0055,元大MSCI金融,ETF,41.98,sys2,2.84,41.15,15.84,36.31,3,959,2026-06-16,Normal,0.0
59,4513,福裕,電機機械,17.3,sys1,0.73,16.45,14.2,15.85,13,685,2026-06-16,Normal,-0.3
