rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,2425,承啟,電子工業,50.2,sys2,2.78,49.65,38.8,44.65,3,5301,2026-08-04,Excellent,61.2
2,2059,川湖,電子工業,9495.0,sys2,566.15,8900.0,6840.0,8362.71,1,668,2026-08-04,Excellent,38.9
3,3231,緯創,電子工業,195.0,sys1,11.56,188.0,144.5,171.88,1,86980,2026-08-04,Excellent,117.7
4,2301,光寶科,電腦及週邊設備業,252.0,sys1,18.04,233.5,176.5,215.91,1,22164,2026-08-04,Excellent,23.4
5,2388,威盛,半導體業,80.3,sys1,5.96,77.7,64.7,68.39,1,7535,2026-08-04,Excellent,69.4
6,6206,飛捷,電子工業,140.0,sys1,7.1,137.5,116.0,125.8,1,2320,2026-08-04,Excellent,18.2
7,3653,健策,電子工業,4145.0,sys1,264.72,3820.0,3100.0,3615.56,1,1446,2026-08-04,Excellent,18.9
8,3229,晟鈦,電子工業,47.75,sys1,3.89,47.45,36.5,39.96,2,598,2026-08-04,Excellent,73.0
9,2006,東和鋼鐵,鋼鐵工業,82.5,sys2,2.12,81.4,67.8,78.25,4,3627,2026-08-04,Good,-0.4
10,6669,緯穎,電子工業,6205.0,sys2,350.88,5925.0,4620.0,5503.24,1,1967,2026-08-04,Good,13.9
