rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,3481,群創,電子工業,44.65,sys2,2.36,40.6,22.95,39.94,4,585593,2026-05-22,Excellent,33.1
2,2327,國巨*,電子工業,629.0,sys2,28.15,572.0,289.5,572.71,1,56823,2026-05-22,Excellent,22.8
3,2356,英業達,電子工業,59.5,sys2,2.17,55.3,45.15,55.17,4,44698,2026-05-22,Excellent,47.1
4,6282,康舒,電子零組件業,57.4,sys2,3.13,56.5,45.0,51.15,3,35265,2026-05-22,Excellent,17.3
5,3189,景碩,半導體業,609.0,sys2,38.42,556.0,445.5,532.16,1,32766,2026-05-22,Excellent,25.1
6,3037,欣興,電子零組件業,970.0,sys2,54.35,948.0,660.0,861.3,1,29678,2026-05-22,Excellent,23.3
7,6239,力成,半導體業,283.0,sys2,14.89,257.5,201.0,253.23,1,25185,2026-05-22,Excellent,35.2
8,1727,中華化,化學生技醫療,102.0,sys2,5.73,93.0,59.3,90.54,1,18244,2026-05-22,Excellent,53.2
9,3090,日電貿,電子工業,215.0,sys2,9.41,196.0,92.8,196.19,1,17519,2026-05-22,Excellent,34.1
10,8028,昇陽半導體,電子工業,294.0,sys2,16.83,287.5,207.5,260.34,1,17444,2026-05-22,Excellent,25.6
11,8043,蜜望實,電子零組件業,130.5,sys2,8.13,125.5,79.4,114.23,1,14320,2026-05-22,Excellent,170.5
12,3048,益登,電子通路業,74.5,sys2,3.11,67.8,36.4,68.27,3,13767,2026-05-22,Excellent,26.7
13,2401,凌陽,半導體業,30.75,sys2,1.39,29.55,22.55,27.97,7,13484,2026-05-22,Excellent,22.1
14,8358,金居,電子零組件業,522.0,sys2,32.32,500.0,324.5,457.36,1,13466,2026-05-22,Excellent,42.8
15,2455,全新,通信網路業,425.0,sys2,27.1,419.5,302.0,370.8,1,11694,2026-05-22,Excellent,16.6
16,2316,楠梓電,電子工業,153.5,sys2,8.72,151.0,109.0,136.07,1,10372,2026-05-22,Excellent,16.5
17,6175,立敦,電子零組件業,88.3,sys2,4.19,87.0,60.0,79.92,2,8794,2026-05-22,Excellent,18.9
18,6215,和椿,其他電子業,134.5,sys2,6.69,132.0,98.9,121.13,1,5742,2026-05-22,Excellent,48.6
19,2404,漢唐,電子工業,1155.0,sys2,51.21,1130.0,945.0,1052.58,1,4702,2026-05-22,Excellent,100.6
20,6166,凌華,電子工業,127.0,sys2,5.81,123.0,73.4,115.38,1,4365,2026-05-22,Excellent,28.8
21,3704,合勤控,通信網路業,44.0,sys2,1.76,41.8,33.15,40.49,5,4278,2026-05-22,Excellent,25.1
22,8040,九暘,半導體業,119.0,sys2,5.86,108.5,64.8,107.28,1,4230,2026-05-22,Excellent,46.0
23,6834,天二科技,電子工業,70.5,sys2,3.43,66.6,33.6,63.64,2,3981,2026-05-22,Excellent,32.6
24,6174,安碁,電子零組件業,46.75,sys2,3.15,46.0,26.3,40.44,3,3581,2026-05-22,Excellent,31.0
25,4991,環宇-KY,半導體業,814.0,sys2,55.47,771.0,537.0,703.05,1,3430,2026-05-22,Excellent,40.0
26,5471,松翰,電子工業,54.0,sys2,2.38,53.8,40.6,49.23,4,3300,2026-05-22,Excellent,24.0
27,1560,中砂,電機機械,688.0,sys2,33.45,683.0,506.0,621.11,1,3092,2026-05-22,Excellent,31.1
28,8121,越峰,電子零組件業,39.55,sys2,2.29,38.7,25.7,34.97,4,2514,2026-05-22,Excellent,18.6
29,6237,驊訊,半導體業,54.8,sys2,2.4,53.4,38.05,50.0,4,2308,2026-05-22,Excellent,39.6
30,3088,艾訊,電腦及週邊設備業,142.0,sys2,4.98,140.5,94.4,132.03,2,2240,2026-05-22,Excellent,30.5
31,1447,力鵬,紡織纖維,6.0,sys2,0.19,5.97,4.9,5.63,53,2173,2026-05-22,Excellent,35.6
32,5284,jpp-KY,其他,410.0,sys2,21.89,405.0,313.0,366.22,1,2150,2026-05-22,Excellent,47.5
33,6291,沛亨,半導體業,541.0,sys2,36.02,536.0,407.0,468.97,1,2039,2026-05-22,Excellent,43.4
34,4760,勤凱,其他電子類,341.0,sys2,21.89,339.0,216.5,297.21,1,1830,2026-05-22,Excellent,72.3
35,6138,茂達,半導體業,318.5,sys2,14.99,316.0,235.0,288.53,1,1821,2026-05-22,Excellent,16.4
36,2241,艾姆勒,汽車工業,37.85,sys2,1.87,37.65,29.5,34.12,5,1747,2026-05-22,Excellent,65.6
37,6227,茂綸,電子通路業,128.0,sys2,5.72,124.5,87.6,116.55,1,1459,2026-05-22,Excellent,66.7
38,6245,立端,通信網路業,88.0,sys2,2.91,87.8,78.0,82.18,3,1431,2026-05-22,Excellent,18.8
39,6214,精誠,電子工業,130.0,sys2,3.37,128.0,118.0,123.27,2,1401,2026-05-22,Excellent,31.5
40,3479,安勤,電腦及週邊設備業,125.5,sys2,3.37,118.0,90.0,118.75,2,1232,2026-05-22,Excellent,21.5
41,3577,泓格,電腦及週邊設備業,145.5,sys2,6.46,140.5,80.1,132.57,1,1171,2026-05-22,Excellent,90.1
42,4542,科嶠,電子零組件業,277.5,sys2,16.65,264.0,163.0,244.2,1,1083,2026-05-22,Excellent,32.6
43,2535,達欣工,建材營造,77.5,sys2,2.08,77.2,69.9,73.33,4,868,2026-05-22,Excellent,24.7
44,3528,安馳,電子通路業,93.8,sys2,3.62,92.6,73.5,86.56,2,867,2026-05-22,Excellent,132.4
45,5434,崇越,電子通路業,449.5,sys2,14.47,439.0,390.5,420.55,1,783,2026-05-22,Excellent,30.6
46,3025,星通,通信網路業,71.0,sys2,2.75,67.9,57.2,65.5,3,754,2026-05-22,Excellent,85.8
47,5236,凌陽創新,半導體業,181.0,sys2,6.19,179.5,155.0,168.61,1,699,2026-05-22,Excellent,40.1
48,6113,亞矽,電子通路業,27.6,sys2,1.21,26.4,22.0,25.19,8,662,2026-05-22,Excellent,61.2
49,3213,茂訊,電腦及週邊設備業,119.5,sys2,2.82,118.5,103.0,113.86,3,584,2026-05-22,Excellent,57.2
50,2236,百達-KY,汽車工業,146.5,sys2,5.45,144.0,129.5,135.6,1,538,2026-05-22,Excellent,66.1
51,6265,方土昶,電子通路業,48.1,sys1,3.19,47.75,40.75,41.73,3,12295,2026-05-22,Excellent,510.6
52,2409,友達,光電業,22.2,sys2,1.16,21.85,16.6,19.88,8,270054,2026-05-22,Good,0.6
53,6116,彩晶,光電業,11.85,sys2,0.58,11.7,8.12,10.69,17,80106,2026-05-22,Good,10.1
54,4958,臻鼎-KY,電子零組件業,516.0,sys2,28.94,475.5,311.0,458.12,1,58807,2026-05-22,Good,7.2
55,2312,金寶,電子工業,33.1,sys2,1.6,31.9,25.35,29.91,6,57601,2026-05-22,Good,-13.1
56,2489,瑞軒,光電業,51.4,sys2,3.35,49.8,34.65,44.69,2,47740,2026-05-22,Good,11.2
57,6182,合晶,半導體業,69.9,sys2,3.37,63.6,38.35,63.15,2,47571,2026-05-22,Good,8.4
58,2464,盟立,其他電子業,144.0,sys2,8.63,140.5,83.8,126.74,1,29869,2026-05-22,Good,8.0
59,2355,敬鵬,電子工業,65.2,sys2,3.67,65.0,49.5,57.86,2,27132,2026-05-22,Good,5.7
60,9105,泰金寶-DR,存託憑證,6.75,sys2,0.23,6.29,5.5,6.29,43,26355,2026-05-22,Good,-14.8
61,2353,宏碁,電子工業,29.55,sys2,0.77,29.45,27.1,28.01,12,25289,2026-05-22,Good,2.1
62,4919,新唐,電子工業,199.5,sys2,13.22,197.0,131.5,173.05,1,24693,2026-05-22,Good,-6.1
63,3033,威健,電子通路業,53.9,sys2,1.93,53.0,34.0,50.03,5,21835,2026-05-22,Good,12.6
64,2363,矽統,電子工業,66.7,sys2,3.65,66.5,51.2,59.4,2,20948,2026-05-22,Good,30.9
65,3035,智原,半導體業,211.0,sys2,10.99,210.5,165.0,189.02,1,20016,2026-05-22,Good,-69.4
66,2492,華新科,電子工業,292.5,sys2,13.41,266.0,124.0,265.69,1,19463,2026-05-22,Good,11.1
67,8096,擎亞,電子通路業,118.5,sys2,7.05,113.5,86.1,104.4,1,18274,2026-05-22,Good,-4.8
68,6278,台表科,電子工業,245.0,sys2,14.57,243.0,132.0,215.86,1,18190,2026-05-22,Good,-2.6
69,5328,華容,電子零組件業,35.5,sys2,2.03,33.95,22.75,31.43,4,16338,2026-05-22,Good,8.3
70,2441,超豐,半導體業,117.0,sys2,5.52,109.5,83.7,105.96,1,15332,2026-05-22,Good,14.3
71,2426,鼎元,光電業,83.2,sys2,4.73,78.6,46.1,73.74,2,15055,2026-05-22,Good,-14.1
72,3042,晶技,電子零組件業,176.0,sys2,10.53,174.0,133.0,154.95,1,13008,2026-05-22,Good,1.4
73,3236,千如,電子零組件業,53.0,sys2,2.79,48.25,28.0,47.42,3,10388,2026-05-22,Good,13.1
74,2375,凱美,電子工業,134.5,sys2,6.32,122.5,77.2,121.87,1,9597,2026-05-22,Good,2.7
75,3026,禾伸堂,電子零組件業,476.5,sys2,24.89,433.5,201.5,426.72,1,8965,2026-05-22,Good,0.1
76,2352,佳世達,電子工業,28.75,sys2,0.85,27.45,23.8,27.06,11,7715,2026-05-22,Good,10.3
77,3221,台嘉碩,通信網路業,56.4,sys2,3.6,53.7,39.0,49.21,2,7365,2026-05-22,Good,-4.5
78,8261,富鼎,半導體業,160.0,sys2,7.95,156.0,112.0,144.1,1,7070,2026-05-22,Good,10.9
79,8105,凌巨,光電業,17.4,sys2,0.71,17.05,12.75,15.97,13,6971,2026-05-22,Good,4.8
80,2478,大毅,電子工業,127.5,sys2,5.87,116.0,63.0,115.76,1,6970,2026-05-22,Good,13.5
81,3615,安可,光電業,47.55,sys2,2.8,46.75,27.8,41.94,3,6806,2026-05-22,Good,-27.7
82,6155,鈞寶,電子工業,61.2,sys2,4.1,61.0,42.4,53.01,2,6788,2026-05-22,Good,6.5
83,6415,矽力*-KY,半導體業,562.0,sys2,31.73,557.0,391.0,498.54,1,6759,2026-05-22,Good,12.0
84,6173,信昌電,電子零組件業,192.5,sys2,9.93,175.0,73.7,172.63,1,6708,2026-05-22,Good,12.7
