rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,2880,華南金,金融保險,42.65,sys2,1.27,42.5,36.1,40.12,7,24111,2026-07-30,Excellent,17.7
2,2884,玉山金,金融保險,37.7,sys2,0.85,37.2,32.8,36.0,11,48971,2026-07-30,Good,10.2
3,2892,第一金,金融保險,35.5,sys2,0.79,35.1,32.0,33.92,12,37195,2026-07-30,Good,9.5
4,5880,合庫金,金融保險,27.0,sys2,0.41,26.2,24.4,26.18,24,22368,2026-07-30,Good,-15.4
5,2006,東和鋼鐵,鋼鐵工業,73.4,sys2,1.71,73.3,67.3,69.98,5,2683,2026-07-30,Good,-0.4
6,8464,億豐,居家生活,382.5,sys2,11.07,381.5,344.5,360.36,1,615,2026-07-30,Good,9.1
7,1476,儒鴻,紡織纖維,352.0,sys1,10.93,350.0,327.0,330.14,1,1717,2026-07-30,Good,5.5
8,9940,信義,其他,20.85,sys1,0.38,20.8,19.6,20.08,26,536,2026-07-30,Good,14.6
9,2886,兆豐金,金融保險,51.5,sys2,1.22,50.5,44.75,49.06,8,32777,2026-07-30,Normal,14.6
10,2905,三商,貿易百貨,16.6,sys2,0.37,16.45,14.6,15.86,26,1141,2026-07-30,Normal,-81.7
