rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,3017,奇鋐,電腦及週邊設備業,3570.0,sys2,192.43,3525.0,2625.0,3185.14,1,4263,2026-09-04,Excellent,111.7
2,3324,雙鴻,其他電子類,1485.0,sys2,73.07,1465.0,955.0,1338.86,1,3904,2026-09-04,Excellent,91.7
3,6214,精誠,資訊服務業,185.5,sys2,4.55,184.5,140.5,176.41,2,3554,2026-09-04,Excellent,31.5
4,2382,廣達,電子工業,345.0,sys1,11.39,342.5,319.5,322.22,1,17296,2026-09-04,Excellent,88.4
5,6290,良維,電子零組件業,270.0,sys1,14.69,268.0,210.0,240.62,1,4288,2026-09-04,Excellent,16.5
6,2530,華建,建材營造,20.15,sys1,0.57,19.9,18.75,19.01,17,1119,2026-09-04,Excellent,1040.7
7,2884,玉山金,金融保險,43.55,sys2,1.01,43.5,36.3,41.54,9,45185,2026-09-04,Good,10.2
8,2892,第一金,金融保險,37.3,sys2,0.86,37.1,32.45,35.58,11,41429,2026-09-04,Good,9.5
9,3094,聯傑,半導體業,46.5,sys2,2.3,46.15,34.7,41.89,4,3961,2026-09-04,Good,-11.4
10,6538,倉和,電子零組件業,300.0,sys2,16.71,273.0,140.5,266.59,1,2925,2026-09-04,Good,-19.4
11,7711,永擎,電子工業,632.0,sys2,30.87,625.0,370.5,570.26,1,1616,2026-09-04,Good,0.0
12,8431,匯鑽科,其他電子類,68.8,sys2,2.99,65.7,44.5,62.81,3,1356,2026-09-04,Good,-9.4
13,2034,允強,鋼鐵工業,21.1,sys2,0.45,21.05,19.1,20.21,22,1300,2026-09-04,Good,0.1
14,5876,上海商銀,金融保險,46.3,sys1,0.97,46.0,42.5,44.35,10,7793,2026-09-04,Good,-3.2
15,6271,同欣電,半導體業,237.0,sys1,12.15,233.0,190.0,212.7,1,4960,2026-09-04,Good,-4.6
16,6620,漢達,生技醫療業,107.5,sys1,5.61,103.5,74.1,96.27,1,1269,2026-09-04,Good,0.0
17,3591,艾笛森,光電業,24.9,sys1,1.06,24.25,20.2,22.78,9,872,2026-09-04,Good,11.6
18,3630,新鉅科,光電業,28.4,sys1,1.19,28.3,25.15,26.02,8,868,2026-09-04,Good,14.3
19,2881,富邦金,金融保險,150.5,sys2,4.35,148.5,123.5,141.79,2,20151,2026-09-04,Normal,-57.4
20,6467,泰合,生技醫療業,194.5,sys2,11.07,190.0,111.5,172.37,1,893,2026-09-04,Normal,0.0
21,2891,中信金,金融保險,68.4,sys1,1.74,68.0,63.0,64.93,5,33305,2026-09-04,Normal,-31.3
22,6016,康和證,金融業,22.4,sys1,0.89,21.95,19.0,20.62,11,4375,2026-09-04,Normal,0.0
