rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,3481,群創,光電業,64.4,sys2,3.98,60.5,38.0,56.44,2,518192,2026-06-18,Excellent,33.1
2,2344,華邦電,半導體業,218.5,sys2,12.28,201.0,113.5,193.94,1,273012,2026-06-18,Excellent,91.5
3,2408,南亞科,半導體業,459.5,sys2,27.1,437.0,280.0,405.31,1,140736,2026-06-18,Excellent,717.3
4,1303,南亞,塑膠工業,139.0,sys2,7.35,126.5,83.1,124.31,1,84705,2026-06-18,Excellent,18.1
5,2890,永豐金,金融保險,39.8,sys2,1.04,36.8,28.65,37.72,9,57547,2026-06-18,Excellent,50.7
6,2327,國巨*,電子工業,1080.0,sys2,59.27,1000.0,560.0,961.45,1,51896,2026-06-18,Excellent,22.8
7,1714,和桐,化學工業,20.35,sys2,0.78,19.25,9.3,18.79,12,35214,2026-06-18,Excellent,43.0
8,8043,蜜望實,電子零組件業,226.5,sys2,14.77,225.0,117.0,196.97,1,25357,2026-06-18,Excellent,170.5
9,3624,光頡,電子零組件業,160.5,sys2,9.55,146.5,84.6,141.4,1,16040,2026-06-18,Excellent,30.6
10,9945,潤泰新,其他,27.5,sys2,0.74,27.45,22.9,26.03,13,11824,2026-06-18,Excellent,22.0
11,3090,日電貿,電子工業,332.5,sys2,19.13,309.0,182.5,294.24,1,11564,2026-06-18,Excellent,34.1
12,2305,全友,電子工業,33.65,sys2,1.87,33.35,16.8,29.91,5,9153,2026-06-18,Excellent,74.9
13,8088,品安,半導體業,69.2,sys2,3.78,68.0,52.2,61.65,2,7928,2026-06-18,Excellent,56.4
14,8358,金居,電子零組件業,700.0,sys2,42.17,687.0,480.0,615.65,1,7766,2026-06-18,Excellent,42.8
15,2316,楠梓電,電子工業,205.5,sys2,11.25,188.0,138.5,182.99,1,7387,2026-06-18,Excellent,16.5
16,3550,聯穎,電子工業,37.25,sys2,1.93,33.9,19.7,33.39,5,7226,2026-06-18,Excellent,29.9
17,3441,聯一光,光電業,92.3,sys2,4.57,89.1,47.9,83.15,2,7054,2026-06-18,Excellent,40.2
18,6274,台燿,電子零組件業,1835.0,sys2,124.72,1815.0,1325.0,1585.57,1,6872,2026-06-18,Excellent,72.3
19,6202,盛群,半導體業,67.0,sys2,3.63,66.5,49.5,59.73,2,6418,2026-06-18,Excellent,19.9
20,6672,騰輝電子-KY,電子工業,245.5,sys2,13.19,242.0,178.0,219.12,1,6055,2026-06-18,Excellent,32.7
21,2241,艾姆勒,汽車工業,50.6,sys2,2.88,47.5,31.3,44.84,3,5150,2026-06-18,Excellent,65.6
22,6834,天二科技,電子工業,101.5,sys2,6.44,92.5,63.0,88.63,1,4185,2026-06-18,Excellent,32.6
23,2458,義隆,半導體業,172.0,sys2,15.12,170.0,48.05,141.76,1,4042,2026-06-18,Excellent,19.8
24,8996,高力,電機機械,1590.0,sys2,104.32,1515.0,1015.0,1381.35,1,3896,2026-06-18,Excellent,205.3
25,8121,越峰,電子零組件業,53.4,sys2,3.14,52.0,36.0,47.11,3,3874,2026-06-18,Excellent,18.6
26,6166,凌華,電腦及週邊設備業,155.5,sys2,9.05,149.0,113.5,137.39,1,3522,2026-06-18,Excellent,28.8
27,6446,藥華藥,生技醫療業,1060.0,sys2,41.4,1020.0,784.0,977.2,1,3238,2026-06-18,Excellent,64.4
28,3290,東浦,電子零組件業,69.8,sys2,3.02,66.3,46.2,63.76,3,2913,2026-06-18,Excellent,68.1
29,3003,健和興,電子工業,69.9,sys2,2.73,68.2,57.5,64.45,3,2157,2026-06-18,Excellent,25.6
30,4923,力士,半導體業,57.7,sys2,3.25,52.5,37.45,51.2,3,2093,2026-06-18,Excellent,21.3
31,6693,廣閎科,半導體業,215.0,sys2,12.47,197.0,139.0,190.06,1,1988,2026-06-18,Excellent,111.9
32,4542,科嶠,電子零組件業,407.0,sys2,24.55,380.0,224.0,357.9,1,1905,2026-06-18,Excellent,32.6
33,6179,亞通,其他,26.8,sys2,1.0,26.05,21.85,24.79,9,1814,2026-06-18,Excellent,64.5
34,5508,永信建,建材營造,61.7,sys2,2.39,61.1,45.5,56.93,4,1753,2026-06-18,Excellent,116.4
35,6259,百徽,電子零組件業,35.85,sys2,2.08,33.7,23.5,31.69,4,1740,2026-06-18,Excellent,37.1
36,4551,智伸科,汽車工業,221.5,sys2,9.4,201.5,128.0,202.69,1,1579,2026-06-18,Excellent,20.1
37,4716,大立,化學工業,18.25,sys2,0.7,18.2,14.45,16.86,14,1036,2026-06-18,Excellent,18.9
38,8091,翔名,半導體業,281.0,sys2,15.65,280.0,217.0,249.7,1,1005,2026-06-18,Excellent,61.8
39,3002,歐格,電子工業,22.95,sys2,0.98,21.2,16.8,20.99,10,921,2026-06-18,Excellent,15.5
40,6613,朋億*,其他電子類,381.5,sys2,15.65,376.5,239.0,350.2,1,722,2026-06-18,Excellent,65.2
41,6494,九齊,半導體業,69.2,sys2,3.37,69.0,50.9,62.46,2,698,2026-06-18,Excellent,39.4
42,5468,凱鈺,半導體業,30.0,sys2,1.07,27.85,16.35,27.87,9,663,2026-06-18,Excellent,219.6
43,5328,華容,電子零組件業,56.5,sys2,3.35,53.3,31.55,49.81,2,38786,2026-06-18,Good,8.3
44,6182,合晶,半導體業,120.0,sys2,7.05,117.5,61.5,105.9,1,36167,2026-06-18,Good,8.4
45,2885,元大金,金融保險,68.0,sys2,2.0,67.4,54.4,64.01,5,35830,2026-06-18,Good,22.2
46,4958,臻鼎-KY,電子零組件業,642.0,sys2,36.8,640.0,450.0,568.41,1,29325,2026-06-18,Good,7.2
47,6155,鈞寶,電子工業,98.5,sys2,6.52,95.0,55.4,85.47,1,23226,2026-06-18,Good,6.5
48,6207,雷科,電子零組件業,165.5,sys2,10.31,164.0,81.5,144.87,1,20582,2026-06-18,Good,14.3
49,2375,凱美,電子工業,219.0,sys2,12.97,202.5,116.5,193.06,1,17439,2026-06-18,Good,2.7
50,8096,擎亞,電子通路業,155.5,sys2,9.21,152.5,106.5,137.08,1,13557,2026-06-18,Good,-4.8
51,2478,大毅,電子工業,234.0,sys2,12.92,227.5,112.0,208.16,1,12968,2026-06-18,Good,13.5
52,2342,茂矽,半導體業,55.2,sys2,3.22,51.5,36.65,48.76,3,12648,2026-06-18,Good,-10.8
53,3357,臺慶科,電子零組件業,348.0,sys2,23.37,341.5,242.5,301.26,1,12118,2026-06-18,Good,12.1
54,1708,東鹼,化學生技醫療,50.3,sys2,2.11,49.95,36.5,46.07,4,11590,2026-06-18,Good,5.4
55,8261,富鼎,半導體業,215.0,sys2,12.52,212.5,143.5,189.95,1,10573,2026-06-18,Good,10.9
56,2332,友訊,通信網路業,20.05,sys2,0.8,18.25,14.0,18.46,12,9743,2026-06-18,Good,5.2
57,2302,麗正,半導體業,47.0,sys2,2.61,45.05,25.25,41.78,3,8952,2026-06-18,Good,5.1
58,2492,華新科,電子工業,561.0,sys2,36.18,542.0,259.5,488.65,1,8815,2026-06-18,Good,11.1
59,3537,堡達,電子零組件業,89.6,sys2,5.69,89.1,63.5,78.22,1,7603,2026-06-18,Good,0.2
60,3060,銘異,電子工業,37.9,sys2,1.98,37.25,26.95,33.94,5,6957,2026-06-18,Good,-4.7
61,6173,信昌電,電子零組件業,316.0,sys2,18.2,311.0,173.0,279.59,1,6340,2026-06-18,Good,12.7
62,2379,瑞昱,半導體業,819.0,sys2,36.83,745.0,566.0,745.34,1,6259,2026-06-18,Good,4.5
63,3317,尼克森,半導體業,88.3,sys2,4.48,87.7,73.0,79.34,2,5321,2026-06-18,Good,12.6
64,6432,今展科,電子零組件業,86.9,sys2,5.13,79.0,53.3,76.65,1,4734,2026-06-18,Good,-6.0
65,4976,佳凌,電子工業,43.9,sys2,2.1,41.85,30.4,39.69,4,4575,2026-06-18,Good,0.7
66,3234,光環,通信網路業,145.0,sys2,9.74,143.0,97.5,125.52,1,4076,2026-06-18,Good,-9.2
67,6742,澤米,光電業,69.0,sys2,3.94,67.5,51.0,61.12,2,3824,2026-06-18,Good,-53.5
68,4707,磐亞,化學工業,23.0,sys2,1.1,22.6,14.3,20.8,9,3689,2026-06-18,Good,-15.9
69,2520,冠德,建材營造,36.4,sys2,1.13,36.2,29.65,34.13,8,3685,2026-06-18,Good,8.2
70,7788,松川精密,電子工業,292.0,sys2,17.97,287.0,178.0,256.06,1,3123,2026-06-18,Good,0.0
71,2061,風青,電器電纜,52.8,sys2,2.65,48.05,23.65,47.49,3,2665,2026-06-18,Good,1.1
72,6525,捷敏-KY,半導體業,143.0,sys2,7.15,138.0,111.0,128.71,1,2665,2026-06-18,Good,11.9
73,6177,達麗,建材營造,50.4,sys2,1.31,48.4,41.55,47.78,7,2618,2026-06-18,Good,154.4
74,2243,宏旭-KY,汽車工業,51.7,sys2,2.97,48.2,20.95,45.76,3,2181,2026-06-18,Good,52.5
75,6156,松上,電子零組件業,24.35,sys2,0.94,24.25,17.85,22.48,10,1690,2026-06-18,Good,1.6
76,2491,吉祥全,光電業,41.0,sys2,2.08,39.35,19.85,36.83,4,1533,2026-06-18,Good,-12.9
77,8081,致新,半導體業,319.0,sys2,11.77,301.5,255.5,295.45,1,1416,2026-06-18,Good,-0.9
78,6220,岳豐,電子零組件業,38.35,sys2,1.53,37.75,30.4,35.3,6,1122,2026-06-18,Good,-20.2
79,6435,大中,半導體業,317.5,sys2,17.04,306.5,224.0,283.42,1,990,2026-06-18,Good,11.0
80,3284,太普高,其他,22.7,sys2,1.03,22.2,15.7,20.64,9,912,2026-06-18,Good,2.2
81,3484,崧騰,電子零組件業,55.1,sys2,1.52,51.8,42.2,52.05,6,722,2026-06-18,Good,-4.8
82,3652,精聯,電子工業,40.2,sys2,1.66,39.75,29.5,36.88,6,557,2026-06-18,Good,8.9
83,6620,漢達,生技醫療業,81.8,sys2,2.97,81.4,64.1,75.85,3,534,2026-06-18,Good,0.0
84,1905,華紙,造紙工業,17.1,sys1,0.69,15.55,12.1,15.72,14,11539,2026-06-18,Good,4.3
85,6472,保瑞,化學生技醫療,422.5,sys1,18.97,421.0,352.5,384.56,1,1634,2026-06-18,Good,4.2
86,8464,億豐,居家生活,358.0,sys1,12.16,355.0,312.0,333.68,1,1059,2026-06-18,Good,9.1
87,6142,友勁,通信網路業,9.61,sys1,0.37,9.39,7.77,8.88,27,904,2026-06-18,Good,2.8
88,2536,宏普,建材營造,22.35,sys1,0.52,22.15,20.0,21.31,19,839,2026-06-18,Good,-53.8
89,6944,兆聯實業,綠能環保,1045.0,sys1,41.62,1030.0,862.0,961.76,1,818,2026-06-18,Good,23.4
90,2221,大甲,其他,48.05,sys1,2.62,47.4,41.5,42.81,3,787,2026-06-18,Good,-3.6
91,2886,兆豐金,金融保險,45.5,sys2,0.98,45.45,39.4,43.53,10,44191,2026-06-18,Normal,14.6
92,2493,揚博,電子工業,273.5,sys2,14.4,259.0,131.0,244.69,1,7736,2026-06-18,Normal,-6.2
93,2838,聯邦銀,金融保險,22.75,sys2,0.44,22.55,20.0,21.87,22,2520,2026-06-18,Normal,8.2
94,8476,台境*,綠能環保,21.75,sys2,0.72,20.55,15.1,20.32,13,1177,2026-06-18,Normal,-11.2
95,0055,元大MSCI金融,ETF,43.46,sys2,2.69,43.35,15.84,38.09,3,1102,2026-06-18,Normal,0.0
96,6586,醣基,生技醫療業,94.0,sys2,5.23,83.3,59.1,83.54,1,980,2026-06-18,Normal,0.0
