rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,8043,蜜望實,電子零組件業,199.0,sys2,12.23,192.5,89.5,174.53,1,23466,2026-06-10,Excellent,170.5
2,2542,興富發,建材營造,45.45,sys2,1.19,44.8,41.2,43.08,8,17225,2026-06-10,Excellent,1537.7
3,8926,台汽電,油電燃氣業,75.0,sys2,3.3,73.7,54.8,68.4,3,14985,2026-06-10,Excellent,594.0
4,8021,尖點,其他電子業,556.0,sys2,34.86,506.0,353.0,486.27,1,6522,2026-06-10,Excellent,51.4
5,4973,廣穎,半導體業,193.0,sys2,10.23,178.5,104.0,172.53,1,6065,2026-06-10,Excellent,98.8
6,3550,聯穎,電子工業,28.45,sys2,1.57,25.9,19.65,25.31,6,4915,2026-06-10,Excellent,29.9
7,2501,國建,建材營造,26.6,sys2,0.7,26.55,21.6,25.21,14,4483,2026-06-10,Excellent,286.2
8,3441,聯一光,光電業,65.0,sys2,3.66,60.2,38.85,57.68,2,4434,2026-06-10,Excellent,40.2
9,3362,先進光,光電業,171.0,sys2,8.18,157.5,100.5,154.65,1,3946,2026-06-10,Excellent,16.6
10,8121,越峰,電子零組件業,44.5,sys2,2.73,43.5,31.65,39.04,3,3298,2026-06-10,Excellent,18.6
11,3290,東浦,電子零組件業,57.9,sys2,2.48,54.0,44.1,52.94,4,1797,2026-06-10,Excellent,68.1
12,2537,聯上發,建材營造,11.1,sys2,0.29,10.95,9.38,10.52,34,1667,2026-06-10,Excellent,60177.4
13,5522,遠雄,建材營造,82.2,sys2,2.29,77.5,68.7,77.63,4,1318,2026-06-10,Excellent,16.5
14,2414,精技,電子通路業,57.5,sys2,1.57,56.9,47.25,54.37,6,541,2026-06-10,Excellent,47.3
15,9945,潤泰新,其他,26.15,sys1,0.68,25.45,23.1,24.79,14,10053,2026-06-10,Excellent,22.0
16,2413,環科,電子工業,59.6,sys1,3.24,56.8,46.0,53.12,3,6715,2026-06-10,Excellent,17.6
17,2511,太子,建材營造,8.16,sys1,0.12,8.07,7.58,7.92,83,1601,2026-06-10,Excellent,90.4
18,6186,新潤,建材營造,42.0,sys1,1.12,41.25,38.65,39.76,8,1131,2026-06-10,Excellent,52.5
19,5508,永信建,建材營造,57.5,sys1,1.87,56.8,45.5,53.76,5,959,2026-06-10,Excellent,116.4
20,5515,建國,建材營造,43.0,sys1,1.15,42.9,39.55,40.69,8,821,2026-06-10,Excellent,84.0
21,5328,華容,電子零組件業,44.85,sys2,2.82,43.35,26.9,39.22,3,31481,2026-06-10,Good,8.3
22,3045,台灣大,通信網路業,118.0,sys2,1.73,117.5,109.5,114.53,5,16116,2026-06-10,Good,5.8
23,2478,大毅,電子工業,170.0,sys2,10.02,167.0,77.3,149.97,1,9233,2026-06-10,Good,13.5
24,4904,遠傳,通信網路業,106.5,sys2,2.27,106.0,92.9,101.95,4,9176,2026-06-10,Good,3.6
25,1319,東陽,汽車工業,107.0,sys2,3.78,105.0,77.5,99.43,2,6812,2026-06-10,Good,-19.9
26,9910,豐泰,運動休閒,94.0,sys2,3.65,86.8,66.4,86.69,2,5917,2026-06-10,Good,-7.7
27,6432,今展科,電子零組件業,75.9,sys2,4.46,73.0,46.1,66.98,2,4500,2026-06-10,Good,-6.0
28,9941,裕融,其他,86.4,sys2,2.34,85.4,72.0,81.72,4,3934,2026-06-10,Good,-7.1
29,8454,富邦媒,數位雲端,449.5,sys2,19.55,426.5,186.0,410.4,1,2806,2026-06-10,Good,2.1
30,7788,松川精密,電子工業,258.5,sys2,15.11,251.5,178.0,228.27,1,2496,2026-06-10,Good,0.0
31,2820,華票,金融保險,17.6,sys2,0.21,17.4,16.6,17.19,48,2144,2026-06-10,Good,46.4
32,6890,來億-KY,運動休閒,280.0,sys2,11.89,274.0,161.0,256.22,1,2034,2026-06-10,Good,-20.6
33,2520,冠德,建材營造,35.6,sys2,0.89,33.4,29.65,33.83,11,1996,2026-06-10,Good,8.2
34,2597,潤弘,建材營造,195.0,sys2,6.07,191.0,155.0,182.87,1,1786,2026-06-10,Good,1.7
35,4741,泓瀚,化學工業,80.9,sys2,4.95,76.0,52.0,71.0,2,1639,2026-06-10,Good,8.3
36,9939,宏全,其他,130.5,sys2,3.44,130.0,118.5,123.61,2,1638,2026-06-10,Good,-4.0
37,2243,宏旭-KY,汽車工業,30.8,sys2,1.78,30.0,20.9,27.23,5,1479,2026-06-10,Good,52.5
38,3147,大綜,資訊服務業,320.0,sys2,13.02,312.5,168.0,293.95,1,1114,2026-06-10,Good,-39.9
39,6592,和潤企業,其他,67.1,sys2,1.43,66.5,59.4,64.24,6,829,2026-06-10,Good,-4.7
40,4155,訊映,化學生技醫療,15.65,sys2,0.47,15.6,13.7,14.7,21,698,2026-06-10,Good,-10.4
41,9917,中保科,其他,118.5,sys2,1.5,118.0,111.0,115.5,6,571,2026-06-10,Good,-1.0
42,8422,可寧衛*,綠能環保,30.25,sys1,1.08,29.6,26.1,28.08,9,15309,2026-06-10,Good,1.5
43,1210,大成,食品工業,55.4,sys1,0.97,55.2,51.6,53.46,10,4974,2026-06-10,Good,5.0
44,2504,國產,建材營造,37.2,sys1,0.7,36.7,34.5,35.8,14,2962,2026-06-10,Good,-10.0
45,5534,長虹,建材營造,83.5,sys1,1.89,79.1,72.7,79.72,5,1677,2026-06-10,Good,-5.8
46,3703,欣陸,建材營造,21.8,sys1,0.44,21.75,20.0,20.93,22,1623,2026-06-10,Good,0.8
47,8464,億豐,居家生活,337.5,sys1,11.7,336.5,302.5,314.09,1,1246,2026-06-10,Good,9.1
48,1532,勤美,電機機械,22.95,sys1,0.53,22.5,20.6,21.9,19,945,2026-06-10,Good,14.1
49,5531,鄉林,建材營造,8.5,sys1,0.22,8.32,7.56,8.06,45,847,2026-06-10,Good,39.0
50,4164,承業醫,化學生技醫療,30.95,sys1,0.89,30.55,27.9,29.18,11,790,2026-06-10,Good,3.4
51,9946,三發地產,建材營造,17.8,sys1,0.39,17.25,16.1,17.02,25,776,2026-06-10,Good,2175.6
52,5519,隆大,建材營造,33.8,sys1,0.61,32.95,31.4,32.57,16,573,2026-06-10,Good,-6.9
53,2536,宏普,建材營造,21.6,sys1,0.49,21.3,19.05,20.61,20,527,2026-06-10,Good,-53.8
54,6219,富旺,建材營造,13.6,sys1,0.5,13.25,11.55,12.59,19,510,2026-06-10,Good,0.0
55,6180,橘子,文化創意業,47.05,sys2,1.54,44.95,37.55,43.97,6,907,2026-06-10,Normal,-29.3
56,3056,富華新,建材營造,14.8,sys1,0.44,14.65,13.15,13.92,22,1914,2026-06-10,Normal,-57.3
57,8476,台境*,綠能環保,19.05,sys1,0.65,19.0,15.1,17.75,15,750,2026-06-10,Normal,-11.2
58,4513,福裕,電機機械,16.4,sys1,0.69,16.05,13.95,15.03,14,557,2026-06-10,Normal,-0.3
