rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,2425,承啟,電子工業,52.9,sys2,2.88,52.1,39.35,47.13,3,6469,2026-08-07,Excellent,61.2
2,3594,磐儀,電腦及週邊設備業,60.0,sys2,3.61,59.8,45.0,52.77,2,2342,2026-08-07,Excellent,60.3
3,2101,南港,橡膠工業,35.5,sys2,1.08,35.3,31.65,33.33,9,2312,2026-08-07,Excellent,438.1
4,6533,晶心科,半導體業,256.0,sys2,13.68,249.5,187.5,228.65,1,1679,2026-08-07,Excellent,39.5
5,2059,川湖,電子工業,11110.0,sys2,579.36,10100.0,6840.0,9951.27,1,639,2026-08-07,Excellent,38.9
6,2451,創見,半導體業,297.0,sys1,16.6,296.0,250.0,263.8,1,8744,2026-08-07,Excellent,594.4
7,2049,上銀,電機機械,387.0,sys1,22.46,383.5,279.0,342.08,1,4132,2026-08-07,Excellent,17.4
8,2606,裕民,航運業,67.5,sys1,1.93,65.6,59.9,63.64,5,3876,2026-08-07,Excellent,17.7
9,3293,鈊象,文化創意業,799.0,sys1,20.35,793.0,708.0,758.3,1,1634,2026-08-07,Excellent,17.8
10,2010,春源,鋼鐵工業,22.95,sys1,0.48,21.55,20.7,21.99,20,1240,2026-08-07,Excellent,15.8
11,6426,統新,電子工業,205.5,sys1,15.76,197.0,135.5,173.97,1,896,2026-08-07,Excellent,70.0
12,6108,競國,電子工業,18.9,sys1,0.65,18.8,16.1,17.59,15,811,2026-08-07,Excellent,22.4
13,2033,佳大,鋼鐵工業,17.0,sys1,0.47,16.35,14.6,16.07,21,672,2026-08-07,Excellent,22.5
14,2397,友通,電子工業,66.2,sys1,2.67,63.0,52.5,60.86,3,658,2026-08-07,Excellent,29.4
15,8050,廣積,電腦及週邊設備業,69.0,sys2,3.69,67.4,52.5,61.63,2,4929,2026-08-07,Good,-13.6
16,2006,東和鋼鐵,鋼鐵工業,88.5,sys2,2.58,86.2,68.7,83.34,3,4381,2026-08-07,Good,-0.4
17,9921,巨大,運動休閒,92.4,sys2,3.46,92.0,72.7,85.49,2,3332,2026-08-07,Good,-17.0
18,3022,威強電,電子工業,103.0,sys2,5.26,101.0,77.2,92.48,1,3281,2026-08-07,Good,9.7
19,1907,永豐餘,造紙工業,30.85,sys2,0.76,30.5,26.9,29.32,13,2080,2026-08-07,Good,5.2
20,2031,新光鋼,鋼鐵工業,45.0,sys2,1.24,43.75,37.55,42.52,8,1405,2026-08-07,Good,0.3
21,6269,台郡,電子工業,66.6,sys1,4.41,65.6,46.0,57.78,2,4889,2026-08-07,Good,8.6
22,8454,富邦媒,數位雲端,283.5,sys1,15.6,274.0,230.0,252.3,1,940,2026-08-07,Good,2.1
23,2030,彰源,鋼鐵工業,18.6,sys1,0.53,18.0,16.6,17.54,18,769,2026-08-07,Good,-3.2
24,6279,胡連,電子零組件業,126.5,sys1,3.51,124.5,110.0,119.49,2,603,2026-08-07,Good,-14.1
25,2354,鴻準,其他電子業,61.8,sys1,2.31,61.0,51.2,57.19,4,9925,2026-08-07,Normal,-61.1
