rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,2327,國巨*,電子工業,342.5,sys2,16.54,336.5,245.0,309.41,1,43619,2026-05-04,Excellent,27.1
2,6147,頎邦,半導體業,179.0,sys2,10.31,173.0,72.3,158.37,1,39593,2026-05-04,Excellent,19.3
3,2885,元大金,金融保險,53.1,sys2,1.24,53.0,45.5,50.62,8,26678,2026-05-04,Excellent,66.4
4,3037,欣興,電子零組件業,911.0,sys2,45.32,886.0,477.0,820.35,1,24510,2026-05-04,Excellent,34.5
5,3711,日月光投控,半導體業,525.0,sys2,24.21,523.0,344.5,476.59,1,23904,2026-05-04,Excellent,21.3
6,3702,大聯大,電子通路業,104.5,sys2,3.91,103.5,87.4,96.68,2,16802,2026-05-04,Excellent,44.6
7,3707,漢磊,半導體業,68.7,sys2,3.99,66.2,48.2,60.73,2,11344,2026-05-04,Excellent,25.0
8,2486,一詮,電子工業,297.5,sys2,15.42,278.0,140.0,266.66,1,11226,2026-05-04,Excellent,34.9
9,8074,鉅橡,電子零組件業,88.3,sys2,5.39,86.0,53.1,77.53,1,9533,2026-05-04,Excellent,28.3
10,3030,德律,其他電子業,376.5,sys2,20.64,374.5,243.0,335.22,1,8312,2026-05-04,Excellent,38.5
11,6274,台燿,電子零組件業,1110.0,sys2,53.02,1080.0,594.0,1003.97,1,8133,2026-05-04,Excellent,74.8
12,2855,統一證,金融保險,37.55,sys2,1.03,36.6,30.85,35.48,9,6980,2026-05-04,Excellent,373.5
13,6016,康和證,金融業,20.1,sys2,0.56,19.7,16.4,18.98,17,6785,2026-05-04,Excellent,151.8
14,6197,佳必琪,電子工業,228.5,sys2,10.96,210.0,157.0,206.58,1,5260,2026-05-04,Excellent,30.9
15,2360,致茂,其他電子業,2310.0,sys2,134.59,2255.0,1505.0,2040.81,1,4837,2026-05-04,Excellent,72.1
16,4908,前鼎,通信網路業,235.0,sys2,13.19,215.0,101.0,208.63,1,4211,2026-05-04,Excellent,66.9
17,5864,致和證,金融業,30.0,sys2,0.99,28.75,23.05,28.03,10,3319,2026-05-04,Excellent,8548.7
18,2395,研華,電子工業,395.0,sys2,13.31,376.5,317.0,368.37,1,3215,2026-05-04,Excellent,23.1
19,3665,貿聯-KY,其他電子業,2940.0,sys2,142.35,2910.0,1860.0,2655.31,1,3093,2026-05-04,Excellent,34.2
20,2465,麗臺,電子工業,81.4,sys2,3.83,75.0,51.5,73.74,2,2349,2026-05-04,Excellent,73.4
21,6805,富世達,電子工業,2215.0,sys2,132.02,2180.0,1685.0,1950.96,1,2293,2026-05-04,Excellent,115.8
22,6861,睿生光電,化學生技醫療,360.5,sys2,17.48,328.0,126.0,325.54,1,2115,2026-05-04,Excellent,45.5
23,3518,柏騰,其他電子業,34.3,sys2,1.51,33.75,19.95,31.29,6,1600,2026-05-04,Excellent,38.9
24,3526,凡甲,電子零組件業,363.0,sys2,13.29,334.5,263.0,336.42,1,1125,2026-05-04,Excellent,50.9
25,4542,科嶠,電子零組件業,218.5,sys2,12.67,209.0,152.0,193.15,1,1097,2026-05-04,Excellent,96.7
26,6683,雍智科技,半導體業,2335.0,sys2,146.95,2125.0,1370.0,2041.11,1,1044,2026-05-04,Excellent,46.7
27,4543,萬在,電機機械,42.35,sys2,2.03,40.45,30.15,38.3,4,1025,2026-05-04,Excellent,80.3
28,8121,越峰,電子零組件業,31.35,sys2,1.48,31.0,22.8,28.4,6,882,2026-05-04,Excellent,43.9
29,5464,霖宏,電子零組件業,35.9,sys2,1.15,33.2,27.85,33.61,8,548,2026-05-04,Excellent,15.5
30,2449,京元電子,半導體業,332.5,sys1,17.09,311.0,269.0,298.32,1,30251,2026-05-04,Excellent,41.3
31,3535,晶彩科,電子工業,141.0,sys1,8.47,136.0,113.5,124.06,1,8050,2026-05-04,Excellent,9477.2
32,3149,正達,光電業,50.9,sys1,2.83,49.5,40.7,45.24,3,6718,2026-05-04,Excellent,52.8
33,3033,威健,電子通路業,37.9,sys1,1.15,36.7,34.0,35.6,8,5799,2026-05-04,Excellent,59.0
34,8936,國統,其他,52.3,sys1,1.24,52.1,49.15,49.82,8,2248,2026-05-04,Excellent,29.8
35,6015,宏遠證,金融業,14.65,sys1,0.41,14.4,12.95,13.83,24,2031,2026-05-04,Excellent,226.8
36,1612,宏泰,電器電纜,36.45,sys1,0.66,35.85,34.4,35.13,15,668,2026-05-04,Excellent,40.9
37,2303,聯電,半導體業,81.2,sys2,4.05,80.9,52.8,73.09,2,207485,2026-05-04,Good,5.3
38,4919,新唐,電子工業,162.0,sys2,9.81,161.0,86.0,142.37,1,17127,2026-05-04,Good,0.5
39,8064,東捷,光電業,114.0,sys2,6.66,104.0,63.8,100.69,1,15982,2026-05-04,Good,35.1
40,8027,鈦昇,電機機械,202.0,sys2,12.51,193.5,128.0,176.97,1,15198,2026-05-04,Good,43.4
41,6278,台表科,電子工業,180.0,sys2,9.28,177.5,92.9,161.44,1,10520,2026-05-04,Good,11.4
42,6789,采鈺,電子工業,611.0,sys2,30.63,593.0,314.0,549.74,1,10507,2026-05-04,Good,10.5
43,6706,惠特,光電業,166.5,sys2,11.08,160.0,114.5,144.34,1,9619,2026-05-04,Good,-63.8
44,6531,愛普*,半導體業,924.0,sys2,54.33,902.0,440.0,815.34,1,7666,2026-05-04,Good,93.8
45,6234,高僑,光電業,58.0,sys2,2.59,52.8,27.7,52.81,3,6106,2026-05-04,Good,31.1
46,4576,大銀微系統,電機機械,233.0,sys2,13.36,222.0,129.5,206.28,1,5317,2026-05-04,Good,69.8
47,3016,嘉晶,半導體業,98.6,sys2,5.08,89.7,51.0,88.44,1,5040,2026-05-04,Good,18.8
48,1597,直得,電機機械,157.5,sys2,8.12,143.5,85.6,141.25,1,4826,2026-05-04,Good,39.9
49,2345,智邦,通信網路業,2505.0,sys2,118.3,2340.0,1575.0,2268.4,1,4658,2026-05-04,Good,71.9
50,3498,陽程,其他電子類,96.4,sys2,5.44,91.9,70.8,85.52,1,4358,2026-05-04,Good,28.2
51,3680,家登,半導體業,564.0,sys2,29.28,551.0,372.5,505.44,1,4274,2026-05-04,Good,62.7
52,3265,台星科,半導體業,184.5,sys2,9.41,184.0,143.0,165.67,1,4173,2026-05-04,Good,18.3
53,3532,台勝科,電子工業,207.5,sys2,11.36,199.5,129.5,184.79,1,3551,2026-05-04,Good,22.0
54,4510,高鋒,電機機械,51.7,sys2,2.6,51.6,40.85,46.51,3,3352,2026-05-04,Good,38.7
55,2342,茂矽,半導體業,36.1,sys2,1.73,34.85,28.0,32.63,5,2498,2026-05-04,Good,-9.1
56,3430,奇鈦科,化學工業,134.0,sys2,6.85,125.5,68.0,120.3,1,2348,2026-05-04,Good,21.6
57,6405,悅城,電子工業,55.9,sys2,2.61,50.9,30.75,50.69,3,2111,2026-05-04,Good,-39.6
