rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,3481,群創,電子工業,40.6,sys2,2.27,39.4,22.95,36.07,4,583529,2026-05-21,Excellent,33.1
2,2327,國巨*,電子工業,572.0,sys2,26.63,545.0,289.5,518.74,1,56067,2026-05-21,Excellent,22.8
3,2027,大成鋼,鋼鐵工業,42.35,sys2,1.21,41.95,35.9,39.93,8,30705,2026-05-21,Excellent,25.1
4,6239,力成,半導體業,257.5,sys2,14.33,255.5,201.0,228.85,1,25878,2026-05-21,Excellent,35.2
5,2388,威盛,半導體業,86.0,sys2,4.89,85.4,69.7,76.23,2,22288,2026-05-21,Excellent,69.4
6,1727,中華化,化學生技醫療,93.0,sys2,5.56,92.7,58.0,81.89,1,19483,2026-05-21,Excellent,53.2
7,3090,日電貿,電子工業,196.0,sys2,8.45,178.5,92.8,179.09,1,17354,2026-05-21,Excellent,34.1
8,3702,大聯大,電子通路業,123.5,sys2,5.47,121.0,93.0,112.56,1,15305,2026-05-21,Excellent,28.6
9,6209,今國光,光電業,86.7,sys2,4.39,78.9,58.9,77.91,2,13649,2026-05-21,Excellent,75.6
10,8043,蜜望實,電子零組件業,125.5,sys2,7.9,124.5,79.4,109.69,1,12945,2026-05-21,Excellent,170.5
11,3048,益登,電子通路業,67.8,sys2,2.93,61.7,36.4,61.95,3,12909,2026-05-21,Excellent,26.7
12,2401,凌陽,半導體業,29.55,sys2,1.33,27.4,22.55,26.89,7,11337,2026-05-21,Excellent,22.1
13,2316,楠梓電,電子工業,151.0,sys2,8.52,149.5,109.0,133.96,1,10338,2026-05-21,Excellent,16.5
14,4916,事欣科,電子工業,98.8,sys2,4.58,89.9,60.4,89.64,2,10057,2026-05-21,Excellent,21.6
15,6175,立敦,電子零組件業,85.2,sys2,4.14,81.5,60.0,76.93,2,8386,2026-05-21,Excellent,18.9
16,8042,金山電,電子零組件業,125.0,sys2,6.38,119.0,53.4,112.23,1,4998,2026-05-21,Excellent,20.5
17,6139,亞翔,其他電子業,784.0,sys2,41.35,772.0,655.0,701.31,1,4759,2026-05-21,Excellent,47.5
18,8040,九暘,半導體業,108.5,sys2,5.62,98.7,64.8,97.26,1,4392,2026-05-21,Excellent,46.0
19,2458,義隆,半導體業,158.5,sys2,6.2,155.0,133.0,146.11,1,4238,2026-05-21,Excellent,19.8
20,3704,合勤控,通信網路業,41.4,sys2,1.6,39.4,33.15,38.2,6,3811,2026-05-21,Excellent,25.1
21,8163,達方,電子工業,35.55,sys2,1.21,35.0,26.6,33.12,8,3608,2026-05-21,Excellent,20.5
22,6834,天二科技,電子工業,66.6,sys2,3.27,60.6,33.6,60.07,3,3414,2026-05-21,Excellent,32.6
23,3694,海華,通信網路業,71.8,sys2,2.86,71.2,55.2,66.08,3,3274,2026-05-21,Excellent,27.3
24,8016,矽創,半導體業,297.5,sys2,11.08,294.5,216.5,275.33,1,2926,2026-05-21,Excellent,29.3
25,3441,聯一光,光電業,52.9,sys2,2.33,48.15,32.75,48.24,4,2545,2026-05-21,Excellent,40.2
26,8121,越峰,電子零組件業,37.35,sys2,2.22,37.0,25.7,32.91,4,2339,2026-05-21,Excellent,18.6
27,3088,艾訊,電腦及週邊設備業,137.5,sys2,4.88,136.0,94.4,127.74,2,2274,2026-05-21,Excellent,30.5
28,6237,驊訊,半導體業,53.4,sys2,2.38,52.0,38.05,48.64,4,2063,2026-05-21,Excellent,39.6
29,5464,霖宏,電子零組件業,71.5,sys2,3.34,68.7,29.95,64.83,2,1811,2026-05-21,Excellent,51.5
30,3479,安勤,電腦及週邊設備業,117.5,sys2,2.95,110.5,90.0,111.61,3,963,2026-05-21,Excellent,21.5
31,5410,國眾,資訊服務業,38.65,sys2,0.95,38.4,31.3,36.74,10,899,2026-05-21,Excellent,103.0
32,5488,松普,電子零組件業,11.8,sys2,0.38,11.75,9.47,11.04,26,707,2026-05-21,Excellent,20.1
33,1533,車王電,汽車工業,39.85,sys2,1.28,38.0,30.1,37.29,7,593,2026-05-21,Excellent,62.4
34,2515,中工,建材營造,13.85,sys1,0.46,13.8,12.1,12.92,21,6453,2026-05-21,Excellent,30.2
35,2404,漢唐,電子工業,1100.0,sys1,50.21,1080.0,982.0,999.58,1,4815,2026-05-21,Excellent,100.6
36,6179,亞通,其他,25.95,sys1,0.96,25.7,23.35,24.03,10,1647,2026-05-21,Excellent,64.5
37,6126,信音,電子零組件業,35.7,sys1,1.46,35.35,32.0,32.79,6,1544,2026-05-21,Excellent,40.6
38,6147,頎邦,半導體業,222.5,sys2,14.0,221.0,128.5,194.5,1,55188,2026-05-21,Good,11.5
39,6182,合晶,半導體業,63.6,sys2,3.22,61.5,38.35,57.16,3,50351,2026-05-21,Good,8.4
40,2355,敬鵬,電子工業,65.0,sys2,3.65,64.9,49.5,57.69,2,25694,2026-05-21,Good,5.7
41,5425,台半,半導體業,90.4,sys2,5.1,89.3,56.3,80.21,1,22695,2026-05-21,Good,0.4
42,2492,華新科,電子工業,266.0,sys2,12.72,242.0,124.0,240.56,1,19583,2026-05-21,Good,11.1
43,5328,華容,電子零組件業,33.95,sys2,1.99,31.45,22.75,29.97,5,13753,2026-05-21,Good,8.3
44,3236,千如,電子零組件業,48.25,sys2,2.68,44.05,28.0,42.88,3,10243,2026-05-21,Good,13.1
45,2472,立隆電,電子工業,266.0,sys2,14.26,256.0,163.5,237.48,1,9963,2026-05-21,Good,9.3
46,3026,禾伸堂,電子零組件業,433.5,sys2,23.94,401.5,201.5,385.62,1,9131,2026-05-21,Good,0.1
47,2375,凱美,電子工業,122.5,sys2,6.02,111.5,77.2,110.47,1,8348,2026-05-21,Good,2.7
48,6415,矽力*-KY,半導體業,557.0,sys2,32.03,544.0,391.0,492.94,1,7515,2026-05-21,Good,12.0
49,2478,大毅,電子工業,116.0,sys2,5.57,105.5,63.0,104.85,1,6934,2026-05-21,Good,13.5
50,8261,富鼎,半導體業,150.0,sys2,7.56,149.0,112.0,134.89,1,6875,2026-05-21,Good,10.9
51,6271,同欣電,電子工業,206.0,sys2,8.32,193.5,169.5,189.36,1,6781,2026-05-21,Good,-4.6
52,2352,佳世達,電子工業,27.2,sys2,0.78,26.5,23.8,25.64,12,6521,2026-05-21,Good,10.3
53,3357,臺慶科,電子零組件業,254.0,sys2,14.6,249.5,163.0,224.79,1,6068,2026-05-21,Good,12.1
54,6155,鈞寶,電子工業,59.4,sys2,3.88,56.4,42.4,51.65,2,5735,2026-05-21,Good,6.5
55,8289,泰藝,電子零組件業,60.8,sys2,3.97,60.0,41.9,52.85,2,3897,2026-05-21,Good,1.9
56,6509,聚和,化學工業,49.15,sys2,2.07,48.9,39.7,45.01,4,3895,2026-05-21,Good,7.2
57,3490,單井,光電業,40.7,sys2,1.96,39.6,28.05,36.78,5,3252,2026-05-21,Good,-14.2
58,3545,敦泰,半導體業,61.2,sys2,2.82,59.5,49.85,55.56,3,3165,2026-05-21,Good,-14.4
59,3141,晶宏,半導體業,71.3,sys2,3.65,69.1,45.2,64.0,2,2750,2026-05-21,Good,13.8
60,6432,今展科,電子零組件業,56.9,sys2,3.25,54.6,36.0,50.39,3,2717,2026-05-21,Good,-6.0
61,3217,優群,電子零組件業,199.0,sys2,6.86,195.0,165.5,185.29,1,2568,2026-05-21,Good,4.9
62,6449,鈺邦,電子工業,295.0,sys2,14.4,280.0,153.0,266.19,1,2469,2026-05-21,Good,15.0
63,6284,佳邦,電子零組件業,93.4,sys2,3.64,91.9,74.7,86.13,2,2374,2026-05-21,Good,-14.4
64,3675,德微,半導體業,316.5,sys2,18.31,311.5,209.0,279.88,1,2358,2026-05-21,Good,12.5
65,6742,澤米,光電業,61.7,sys2,2.65,57.4,37.75,56.41,3,2035,2026-05-21,Good,-53.5
66,5285,界霖,半導體業,82.0,sys2,3.18,80.6,51.1,75.65,3,2003,2026-05-21,Good,-2.8
67,6831,邁科,電子工業,781.0,sys2,41.5,755.0,458.0,698.0,1,1821,2026-05-21,Good,0.0
68,6719,力智,半導體業,233.5,sys2,9.64,232.0,170.0,214.23,1,1758,2026-05-21,Good,-10.3
69,2061,風青,電器電纜,24.5,sys2,1.06,23.25,15.0,22.38,9,1576,2026-05-21,Good,1.1
70,3537,堡達,電子零組件業,63.5,sys2,2.35,57.8,42.3,58.8,4,1334,2026-05-21,Good,0.2
71,3176,基亞,生技醫療業,39.7,sys2,1.64,37.7,29.3,36.43,6,1025,2026-05-21,Good,-67.9
72,6151,晉倫,其他電子類,46.55,sys2,1.94,45.1,33.75,42.67,5,966,2026-05-21,Good,-0.1
73,7610,聯友金屬-創,創新板股票,1230.0,sys2,62.64,1120.0,529.0,1104.71,1,919,2026-05-21,Good,0.0
74,4976,佳凌,光電業,32.95,sys2,1.24,32.6,28.05,30.46,8,858,2026-05-21,Good,0.7
75,6411,晶焱,半導體業,94.6,sys2,3.85,90.5,76.5,86.89,2,851,2026-05-21,Good,0.7
76,4127,天良,生技醫療業,57.2,sys2,2.31,52.0,37.0,52.57,4,655,2026-05-21,Good,47.1
77,2420,新巨,電子工業,62.5,sys2,1.47,59.9,53.9,59.55,6,646,2026-05-21,Good,3.2
78,6538,倉和,電子零組件業,117.0,sys2,4.74,107.5,69.5,107.52,2,584,2026-05-21,Good,-19.4
79,4555,氣立,電機機械,46.6,sys2,1.93,45.5,38.4,42.74,5,566,2026-05-21,Good,-5.6
80,4155,訊映,化學生技醫療,15.3,sys2,0.36,14.85,12.85,14.58,27,502,2026-05-21,Good,-10.4
81,1402,遠東新,紡織纖維,27.2,sys1,0.5,26.9,25.9,26.2,20,14942,2026-05-21,Good,-3.3
82,9933,中鼎,其他,39.6,sys1,1.22,39.0,36.0,37.16,8,4630,2026-05-21,Good,-24.6
83,2206,三陽工業,汽車工業,59.8,sys1,1.06,59.1,56.7,57.69,9,1339,2026-05-21,Good,-5.6
84,8473,山林水,綠能環保,40.7,sys1,1.08,39.75,33.55,38.55,9,945,2026-05-21,Good,9.0
85,6546,正基,通信網路業,75.6,sys1,3.27,73.3,63.7,69.06,3,756,2026-05-21,Good,-2.8
86,5213,亞昕,建材營造,26.9,sys1,0.47,26.45,25.45,25.96,21,665,2026-05-21,Good,-88.9
87,2851,中再保,金融保險,35.55,sys2,0.82,35.35,29.8,33.92,12,2818,2026-05-21,Normal,-68.8
88,6990,華鉬,綠能環保,170.0,sys2,16.66,145.5,67.0,136.68,1,549,2026-05-21,Normal,0.0
